"Elixir", "Elixir", -1, 1, 0, 21, 0, 4, 1, 0, 1, 20, -1, -1, "elx", "elx", "elx", 16, 1, 1, 0, 0, 0, "flppot", "invpot", "", "", 0, "xxx", -1, -1, 1, 0, "elix", "", "item_potion", 14, "item_potion_drink", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, -1, 8, -1, -1, -1, -1, 13, 5, -1, -1, -1, -1, -1, "", -1, 0, 0, 0, -1, 0, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, 0, 0, 0, "xxx", "xxx", -1, -1, -1, -1, -1
"Potion Of Healing", "Healing Potion", -1, 1, 0, 0, 0, 1, 0, 0, 1, 30, -1, -1, "hpo", "hpo", "hp1", 16, 1, 1, 0, 0, 0, "flprps", "invrps", "", "", 0, "xxx", -1, -1, 1, 0, "hpot", "", "item_potion", 14, "item_potion_drink", 0, 0, 5, 0, 1, 1, 0, 0, 0, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, "", -1, 0, 0, 0, -1, 0, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, 0, 0, 0, "xxx", "xxx", -1, -1, 1, 1, -1
"Potion Of Mana", "Mana Potion", -1, 1, 0, 0, 0, 1, 0, 0, 1, 30, -1, -1, "mpo", "mpo", "mp1", 16, 1, 1, 0, 0, 0, "flpbps", "invbps", "", "", 0, "xxx", -1, -1, 1, 0, "mpot", "", "item_potion", 14, "item_potion_drink", 0, 0, 5, 0, 1, 0, 0, 0, 0, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, "", -1, 0, 0, 0, -1, 0, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, 0, 0, 0, "xxx", "xxx", -1, -1, 1, 1, -1
"Full Healing Potion", "Full Healing Potion", -1, 1, 0, 0, 0, 2, 0, 0, 1, 150, -1, -1, "hpf", "hpo", "hp5", 16, 1, 1, 0, 0, 0, "flprpl", "invrpl", "", "", 0, "xxx", -1, -1, 1, 0, "hpot", "", "item_potion", 14, "item_potion_drink", 0, 0, 5, 0, 1, 1, 0, 0, 0, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, "", -1, 0, 0, 0, -1, 0, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, 0, 0, 0, "xxx", "xxx", -1, -1, 1, 1, -1
"Full Mana Potion", "Full Mana Potion", -1, 1, 0, 0, 0, 2, 0, 0, 1, 150, -1, -1, "mpf", "mpo", "mp5", 16, 1, 1, 0, 0, 0, "flpbpl", "invbpl", "", "", 0, "xxx", -1, -1, 1, 0, "mpot", "", "item_potion", 14, "item_potion_drink", 0, 0, 5, 0, 1, 0, 0, 0, 0, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, "", -1, 0, 0, 0, -1, 0, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, 0, 0, 0, "xxx", "xxx", -1, -1, 1, 1, -1
"Stamina Potion", "Stamina Potion", -1, 1, 0, 0, 0, 1, 1, 0, 1, 25, -1, -1, "vps", "vps", "vps", 16, 1, 1, 0, 0, 0, "flpwps", "invwps", "", "", 0, "xxx", -1, -1, 1, 0, "spot", "", "item_potion", 14, "item_potion_drink", 0, 0, 5, 0, 1, 0, 0, 0, 0, 0, -1, -1, 0, -1, 9, 180, -1, -1, 750, 28, 5000, -1, -1, -1, -1, -1, "", -1, 0, 0, 0, -1, 0, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, 2, 4, -1, -1, 255, -1, -1, -1, -1, 255, 3, 5, 3, 5, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, 3, 5, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, 2, 3, -1, -1, 255, -1, -1, -1, -1, 255, 2, 3, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, 2, 3, -1, -1, 255, -1, -1, 0, 0, 0, "xxx", "xxx", -1, -1, 1, 1, -1
"Antidote Potion", "Antidote Potion", -1, 1, 0, 0, 0, 1, 1, 0, 1, 40, -1, -1, "yps", "yps", "yps", 16, 1, 1, 0, 0, 0, "flpnps", "invnps", "", "", 0, "xxx", -1, -1, 1, 0, "apot", "", "item_potion", 14, "item_potion_drink", 0, 0, 5, 0, 1, 0, 0, 0, 0, 0, -1, -1, 0, -1, 6, 178, 2, -1, 750, 45, 50, 46, 10, -1, -1, -1, "", -1, 0, 0, 0, -1, 0, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, 2, 4, -1, -1, 255, -1, -1, -1, -1, 255, 9, 15, 9, 15, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, 8, 11, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, 8, 11, -1, -1, 255, -1, -1, -1, -1, 255, 3, 5, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, 3, 5, -1, -1, 255, -1, -1, 0, 0, 0, "xxx", "xxx", -1, -1, 1, 1, -1
"Rejuvenation Potion", "Rejuv Potion", -1, 1, 0, 0, 0, 2, 0, 0, 1, 400, -1, -1, "rvs", "yps", "rvs", 16, 1, 1, 0, 0, 0, "flpvps", "invvps", "", "", 0, "xxx", -1, -1, 1, 0, "rpot", "", "item_potion", 14, "item_potion_drink", 0, 0, 5, 0, 1, 1, 0, 0, 0, 0, -1, -1, 0, -1, 5, -1, -1, -1, -1, 6, 35, 8, 35, -1, -1, 1, "ItemStatsrejuv1", -1, 0, 0, 0, -1, 0, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, 0, 0, 0, "xxx", "xxx", -1, -1, -1, -1, -1
"Full Rejuvenation Potion", "Full Rejuv Potion", -1, 1, 0, 0, 0, 2, 0, 0, 1, 1500, -1, -1, "rvl", "ypl", "rvl", 16, 1, 1, 0, 0, 0, "flpvpl", "invvpl", "", "", 0, "xxx", -1, -1, 1, 0, "rpot", "", "item_potion", 14, "item_potion_drink", 0, 0, 5, 0, 1, 1, 0, 0, 0, 0, -1, -1, 0, -1, 5, -1, -1, -1, -1, 6, 100, 8, 100, -1, -1, 1, "ItemStatsrejuv2", -1, 0, 0, 0, -1, 0, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, 0, 0, 0, "xxx", "xxx", -1, -1, -1, -1, -1
"Thawing Potion", "Thawing Potion", -1, 1, 0, 0, 0, 2, 1, 0, 1, 25, -1, -1, "wms", "yps", "wms", 16, 1, 1, 0, 0, 0, "flpyps", "invyps", "", "", 0, "xxx", -1, -1, 1, 0, "wpot", "", "item_potion", 14, "item_potion_drink", 0, 0, 5, 0, 1, 0, 0, 0, 0, 0, -1, -1, 0, -1, 6, 179, 1, 11, 750, 43, 50, 44, 10, -1, -1, -1, "", -1, 0, 0, 0, -1, 0, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, 1, 2, -1, -1, 255, -1, -1, -1, -1, 255, 3, 5, 3, 5, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, 6, 9, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, 6, 9, -1, -1, 255, -1, -1, -1, -1, 255, 2, 4, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, 2, 4, -1, -1, 255, -1, -1, 0, 0, 0, "xxx", "xxx", -1, -1, 1, 1, -1
