"The Gnasher", 0, 1, -1, 1, -1, 7, 5, "hax", "Hand Axe", -1, -1, 5, 5000, "dyel", "", "", "invhaxu", "", -1, "", "str", -1, 8, 8, "openwounds", -1, 50, 50, "crush", -1, 20, 20, "dmg%", -1, 60, 70, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Deathspade", 0, 1, -1, 1, -1, 12, 9, "axe", "Axe", -1, -1, 5, 5000, "dgld", "", "", "invaxeu", "", -1, "", "stupidity", -1, 1, 1, "dmg-min", -1, 8, 8, "att%", -1, 15, 15, "mana-kill", -1, 4, 4, "dmg%", -1, 60, 70, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Bladebone", 0, 1, -1, 1, -1, 20, 15, "2ax", "Double Axe", -1, -1, 5, 5000, "lgry", "lgry", "", "", "", -1, "", "dmg-undead", -1, 100, 100, "att-undead", -1, 40, 40, "swing2", -1, 20, 20, "ac", -1, 20, 20, "fire-min", -1, 8, 8, "fire-max", -1, 12, 12, "dmg%", -1, 30, 50, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Mindrend", 0, 1, -1, 1, -1, 28, 21, "mpi", "Military Pick", -1, -1, 5, 5000, "lgrn", "", "", "invmpiu", "", -1, "", "stupidity", -1, 2, 2, "regen-mana", -1, 20, 20, "ltng-min", -1, 1, 1, "ltng-max", -1, 12, 15, "att", -1, 50, 100, "dmg%", -1, 60, 100, "openwounds", -1, 15, 15, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Rakescar", 0, 1, -1, 1, -1, 36, 27, "wax", "War Axe", -1, -1, 5, 5000, "dgry", "dgry", "", "", "", -1, "", "pois-min", -1, 128, 128, "pois-max", -1, 128, 128, "pois-len", -1, 75, 75, "att", -1, 50, 50, "res-pois", -1, 50, 50, "dmg%", -1, 75, 150, "swing2", -1, 30, 30, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Fechmars Axe", 0, 1, -1, 1, -1, 11, 8, "lax", "Large Axe", -1, -1, 5, 5000, "lpur", "lpur", "", "", "", -1, "", "dmg%", -1, 70, 90, "freeze", -1, 3, 3, "res-cold", -1, 50, 50, "light", -1, 2, 2, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Goreshovel", 0, 1, -1, 1, -1, 19, 14, "bax", "Broad Axe", -1, -1, 5, 5000, "dpur", "dpur", "", "", "", -1, "", "swing3", -1, 30, 30, "str", -1, 25, 25, "openwounds", -1, 60, 60, "dmg%", -1, 40, 50, "dmg-max", -1, 9, 9, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"The Chieftan", 0, 1, -1, 1, -1, 26, 19, "btx", "Battle Axe", -1, -1, 5, 5000, "oran", "", "", "invbtxu", "", -1, "", "dmg%", -1, 100, 100, "res-all", -1, 10, 20, "mana-kill", -1, 6, 6, "swing2", -1, 20, 20, "dmg-ltng", -1, 1, 40, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Brainhew", 0, 1, -1, 1, -1, 34, 25, "gax", "Great Axe", -1, -1, 5, 5000, "whit", "", "", "invgaxu", "", -1, "", "dmg-min", -1, 14, 14, "mana", -1, 25, 25, "light", -1, 4, 4, "manasteal", -1, 10, 13, "dmg%", -1, 50, 80, "dmg-fire", -1, 15, 35, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"The Humongous", 0, 1, -1, 1, -1, 39, 29, "gix", "Giant Axe", -1, -1, 5, 5000, "blac", "blac", "", "", "", -1, "", "str", -1, 20, 30, "dmg-min", -1, 8, 8, "dmg-max", -1, 15, 25, "crush", -1, 33, 33, "ease", -1, 20, 20, "dmg%", -1, 80, 120, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
